clublink,clubdata,phonenumber,mailaddress,webpage
SC Integra e. V.,"SC Integra e. V.

      

      Berlin",null,null,null
Beachsport Brandenburg Berlin,"Beachsport Brandenburg Berlin

      

      Berlin",null,null,null
BSG Finanzamt Tiergarten,"BSG Finanzamt Tiergarten

     Neue Jakobstr. 6/7 

     10179 Berlin",902422486,teny-w(at)gmx(dot)de,null
Volleyballverein Völkerfreundschaft Berlin e. V.,"Volleyballverein Völkerfreundschaft Berlin e. V.

     Zingergraben 27 

     13156 Berlin",0160/7483445,Uwe.Schuster(at)freenet(dot)de,null
Freizeitsportverein Charlottenburg e. V.,"Freizeitsportverein Charlottenburg e. V.

     Am Pfaffengraben 17 

     06184 Dölbau",3452494464,stein.angelika(at)web(dot)de,null
Tauchclub fez e.V.,"Tauchclub fez e.V.

     Alt-Friedrichsfelde 10 

     10315 Berlin",1629842257,alicewittmann(at)web(dot)de,www.tcfez.de
BSG Chemisches Laboratorium Dr. Kurt Richter GmbH,null,null,null,null
Schützengilde 1972 Berlin Reinickendorf e. V.,"Schützengilde 1972 Berlin Reinickendorf e. V.

     Scharnweberstraße 81 a 

     13405 Berlin",4139405,wolfgangphilips(at)hotmail(dot)de,www.sgi-berlin-reinickendorf.de
Sport Club Gatow 1931 e. V.,"Sport Club Gatow 1931 e. V.

     Weihenzeller Steig 5 

     14089 Berlin",36801609,BerndMTrepte(at)gmx(dot)de,www.sc-gatow.de
Berlin City Bouncers SC e.V.,"Berlin City Bouncers SC e.V.

     Gottfried-Bürger-Straße 4 

     15517 Fürstenwalde",3361734817,community(at)berlin-city-bouncers(dot)de,www.berlin-city-bouncers.de
Sportgemeinschaft Blau-Weiß Friedrichshain e. V.,"Sportgemeinschaft Blau-Weiß Friedrichshain e. V.

     Isländische Straße 13 

     10439 Berlin",1731691231,philips(at)bwfriedrichshain(dot)de,www.bwfriedrichshain.de
Sonne 08 Berlin Wannsee e. V.,"Sonne 08 Berlin Wannsee e. V.

     Zimmermannstr. 17 

     12163 Berlin",030-79 70 28 53,helmutnagoya(at)gmail(dot)com,null
BSG Tischtennisgemeinschaft der Oberfinanzdirektion Berlin,"BSG Tischtennisgemeinschaft der Oberfinanzdirektion Berlin

     Ringstr. 14 

     14979 Großbeeren",9024-35759,jurgen.deckwerth(at)web(dot)de,null
Kegelsportgemeinschaft des Postamts Berlin-Steglitz,"Kegelsportgemeinschaft des Postamts Berlin-Steglitz

     Margaretenstraße 30 a 

     12203 Berlin",8526722,ksg41(at)t-online(dot)de,null
Segel-Club Rohrwall e. V.,"Segel-Club Rohrwall e. V.

     Liebermannstr. 30h 

     13088 Berlin",304732426,martin.rosengarten(at)t-online(dot)de,www.sc-rohrwall.de
Club Deportivo Latino Berlin e. V.,"Club Deportivo Latino Berlin e. V.

     Albrechtstraße 109 

     12167 Berlin",17623623529,christian312008(at)hotmail(dot)de,www.club-deportivolatino-berlin.de
Gesund durchs Leben e.V.,"Gesund durchs Leben e.V.

     Regattastr. 114-120 

     12527 Berlin",null,null,null
Freizeitgymnastikverein Bohnsdorf e. V.,"Freizeitgymnastikverein Bohnsdorf e. V.

     Grünfinkenweg 4 

     12526 Berlin",676 51 64,null,freizeitgymnastikverein-bohnsdorf.de
ASAF - Berlin e. V.,"ASAF - Berlin e. V.

     Wilhelmstraße 69 

     10117 Berlin",null,null,null
BSG Tetra Pak Berlin,"BSG Tetra Pak Berlin

     Hennigsdorfer Straße 159 

     13503 Berlin",4382139,Michael.Maurer(at)tetrapak(dot)com,null
Budoverein Dynamo Hoppegarten-Berlin e. V.,"Budoverein Dynamo Hoppegarten-Berlin e. V.

     Seehausener Straße 46 

     13057 Berlin",3342302035,info(at)dynamo-hoppegarten(dot)de,dynamo-hoppegarten.de
SV Secura Berlin e.V.,"SV Secura Berlin e.V.

     Weißenseer Weg 18 

     10367 Berlin",972 88 22,maiwer10(at)web(dot)de,null
Veteran Flambeau Club Berlin e.V.,"Veteran Flambeau Club Berlin e.V.

     Ruppiner-See-Str. 47 

     13599 Berlin",null,vfcb(at)googlegroups(dot)com,www.vfcb.net
Sportgemeinschaft Grün-Weiß Berlin-Baumschulenweg e. V.,"Sportgemeinschaft Grün-Weiß Berlin-Baumschulenweg e. V.

     Sterndamm 72 

     12487 Berlin",55653329,uwe-gwstar(at)web(dot)de,null
Okinawa Judo-Karate-Club e. V.,"Okinawa Judo-Karate-Club e. V.

     Postfach 28 02 12 

     13442 Berlin",null,null,null
Fechtclub Berlin Südwest e. V.,"Fechtclub Berlin Südwest e. V.

     Kollwitzstraße 81 

     10435 Berlin",44017276,ra(at)immorecht(dot)info,www.fechtclub-berlin.de
Finanzsportverein Berlin e.V.,"Finanzsportverein Berlin e.V.

     Edelweißstraße 24 

     13158 Berlin",9162616,null,null
Pyongwon Marzahn e. V.,"Pyongwon Marzahn e. V.

     Lemkestraße 98 b 

     12623 Berlin",305647025,fpyongwontkd(at)web(dot)de,www.pyongwon.net
Karate Club Wedding,"Karate Club Wedding

      

      Berlin",null,null,null
Sportverein Energie Berlin e. V.,"Sportverein Energie Berlin e. V.

     Gutenbergstraße 4 - 5 

     12557 Berlin",6559165,energieberlin(at)t-online(dot)de,www.sv-energie-berlin.de
SV Germania Schöneiche,"SV Germania Schöneiche

      

      Berlin",null,null,null
Sportfreunde Berlin 06 e. V.,"Sportfreunde Berlin 06 e. V.

     In den Floragärten 3 

     13187 Berlin",0173-351 36 63,robert.brichta(at)sportfreunde-berlin(dot)de,www.sportfreunde-berlin.de
Verein Schmöckwitzer Segler e. V.,"Verein Schmöckwitzer Segler e. V.

     Bornstraße 8 

     12163 Berlin",851 86 67,detlefney(at)web(dot)de,null
Millenium Schützenverein,"Millenium Schützenverein

      

      Berlin",null,null,null
Basketball Gemeinschaft Spandau e. V.,"Basketball Gemeinschaft Spandau e. V.

     Oldesloer Weg 30 

     13591 Berlin",null,null,null
Perfect Taekwondo e. V.,"Perfect Taekwondo e. V.

     Semmelweißstr. 39b 

     12524 Berlin",15111878326,perfecttaekwondo(at)web(dot)de,www.perfect-taekwondo-ev.de
1. Squash Club Berlin e.V.,"1. Squash Club Berlin e.V.

     Rue Charles Calmette 11 d 

     13405 Berlin",17644409772,hans.sucker(at)web(dot)de,www.1scb.com
BSG Bezirksamt Reinickendorf,"BSG Bezirksamt Reinickendorf

     Eichborndamm 215-239 

     13437 Berlin",null,bsgbar(at)reinickendorf.berlin(dot)de,www.bsgbareinickendorf.de
Anglerverein Frühauf Spandau 1928 e. V.,"Anglerverein Frühauf Spandau 1928 e. V.

     Steinmeisterweg 24 

     13593 Berlin",null,scrumpyjack(at)web(dot)de,null
Bouledozer e.V.,"Bouledozer e.V.

     Kruppstr. 5 

     10557 Berlin",0152-2999 4618,andre_starkloff(at)gmx(dot)de,null
Aktivist Runder Ball,"Aktivist Runder Ball

     Elbestraße 30 

     12045 Berlin",1622153962,aktivistrunderball(at)googlemail(dot)com,null
Sportvereinigung Deutsche Jugendkraft Westen zu Berlin e. V.,"Sportvereinigung Deutsche Jugendkraft Westen zu Berlin e. V.

     Krontalstraße 82 

     12309 Berlin",030-7459957,vorstand(at)djk-westen23(dot)de,www.djk-westen23.de
Segelgemeinschaft Wendenschloss e. V.,"Segelgemeinschaft Wendenschloss e. V.

     Am Tierpark 41 

     10319 Berlin",515 31 147,inis.adloff(at)gmx(dot)de,www.sgwendenschloss.de
Berliner Turn-Verein Olympia e. V.,"Berliner Turn-Verein Olympia e. V.

     Paul-Heyse-Straße 25 

     10407 Berlin",423 06 87,info(at)btv-olympia(dot)de,www.btv-olympia.de
BSV/VEAG-Berlin e. V.,"BSV/VEAG-Berlin e. V.

     Eichenstraße 3 A 

     12435 Berlin",51503217,andrea.eichler(at)50hertz(dot)com,null
Wander-Segler-Verein 1922 e. V.,"Wander-Segler-Verein 1922 e. V.

     Heerstraße 168 

     13595 Berlin",3612817,vorstand(at)wsv22ev(dot)de,www.wsv22ev.de
Kietz für Kids - Freizeitsport e. V.,"Kietz für Kids - Freizeitsport e. V.

     Zum Hechtgraben 1 

     13051 Berlin",962 099 28/920 11 05,info(at)kietz-fuer-kids-freizeitsport(dot)de,www.kietz-fuer-kids-freizeitsport.de
Sportverein Berlin-Friedrichstadt e. V.,"Sportverein Berlin-Friedrichstadt e. V.

     Paul-Heyse-Straße 25 

     10407 Berlin",53604968,vorstand-1(at)sport-friedrichstadt(dot)de,www.sport-friedrichstadt.de
